-100.8476715 -156.1070557 -33.0513382  100.8476715 156.1070557
-98.61352539 -157.640625 -36.59365082  98.61352539 157.640625
-98.24124146 -157.909317 -37.34807587  98.24124146 157.909317
-94.71905518 -158.9435272 -42.82074738  94.71905518 158.9435272
-94.40503693 -159.0230255 -43.24874878  94.40503693 159.0230255
-93.56822205 -159.2555847 -44.59098434  93.56822205 159.2555847
-93.3066864 -159.401474 -44.97937012  93.3066864 159.401474
-92.62468719 -159.5886383 -45.8932991  92.62468719 159.5886383
-90.65756226 -159.7325439 -48.00720215  90.65756226 159.7325439
-89.05156708 -159.5913086 -49.89096832  89.05156708 159.5913086
-88.24624634 -159.5397339 -50.66377258  88.24624634 159.5397339
-86.63110352 -159.2832642 -51.69961929  86.63110352 159.2832642
-84.06014252 -158.1756897 -54.10161209  84.06014252 158.1756897
-82.65106201 -157.8682404 -55.53955841  82.65106201 157.8682404
-81.79833221 -157.627121 -56.47521591  81.79833221 157.627121
-79.83772278 -157.0168762 -58.43677902  79.83772278 157.0168762
-79.30760956 -156.8102112 -59.05245209  79.30760956 156.8102112
-77.69109344 -156.2984619 -60.55016708  77.69109344 156.2984619
-75.85385895 -155.8091431 -62.0916748  75.85385895 155.8091431
-74.86942291 -155.4074249 -62.69184494  74.86942291 155.4074249
-74.22875977 -155.1004181 -63.16024017  74.22875977 155.1004181
-73.1269455 -154.7098541 -63.75686264  73.1269455 154.7098541
-71.36676788 -154.222168 -64.48829651  71.36676788 154.222168
-69.6206131 -153.4898224 -65.29690552  69.6206131 153.4898224
-69.19773865 -153.3207092 -65.55049896  69.19773865 153.3207092
-62.60396957 -150.7707062 -71.13408661  62.60396957 150.7707062
-61.91566086 -150.557251 -71.59664917  61.91566086 150.557251
-60.18037415 -150.1957245 -72.61091614  60.18037415 150.1957245
-58.85592651 -149.8000488 -73.3789444  58.85592651 149.8000488
-58.77286911 -149.7717438 -73.41590881  58.77286911 149.7717438
-57.44650269 -149.2687988 -74.09291077  57.44650269 149.2687988
-56.32039642 -148.7442322 -74.44308472  56.32039642 148.7442322
-55.65962601 -148.4386444 -74.56427765  55.65962601 148.4386444
-55.42556 -148.3509674 -74.61703491  55.42556 148.3509674
-55.42339325 -148.3507843 -74.61701202  55.42339325 148.3507843
-53.34873581 -147.8447418 -75.55924988  53.34873581 147.8447418
-51.03376007 -147.0600281 -77.04853821  51.03376007 147.0600281
-45.40013504 -145.591217 -79.67405701  45.40013504 145.591217
-43.96779633 -145.1230316 -80.40037537  43.96779633 145.1230316
-42.67518234 -144.57547 -81.21060944  42.67518234 144.57547
-40.8824501 -144.0531311 -82.31143951  40.8824501 144.0531311
-40.66726685 -143.9790955 -82.39863586  40.66726685 143.9790955
-38.29171371 -143.1503906 -83.31604767  38.29171371 143.1503906
-37.39432144 -142.7014313 -83.73770142  37.39432144 142.7014313
-36.95536423 -142.4847717 -83.89833832  36.95536423 142.4847717
-35.7310257 -142.0340576 -84.31052399  35.7310257 142.0340576
-35.62840652 -142.0032501 -84.33435822  35.62840652 142.0032501
-35.54862213 -141.9787445 -84.3659668  35.54862213 141.9787445
-34.22126007 -141.632843 -84.76452637  34.22126007 141.632843
-33.85694504 -141.566452 -84.83049774  33.85694504 141.566452
-30.04947281 -141.2364807 -85.94260406  30.04947281 141.2364807
-29.22021484 -141.2114258 -86.22776031  29.22021484 141.2114258
-23.62459183 -140.5370636 -88.17804718  23.62459183 140.5370636
-20.46446037 -140.196579 -89.05722046  20.46446037 140.196579
-19.23272514 -140.01828 -89.46022797  19.23272514 140.01828
-17.95407486 -139.8602448 -89.93665314  17.95407486 139.8602448
-16.03356552 -139.7079468 -90.6336441  16.03356552 139.7079468
-15.44529057 -139.6425171 -90.81443024  15.44529057 139.6425171
-14.62216282 -139.5386505 -91.04590607  14.62216282 139.5386505
-12.59198189 -139.1374207 -91.62702942  12.59198189 139.1374207
-11.93202209 -138.9432068 -91.87982941  11.93202209 138.9432068
-10.6240263 -138.7742462 -92.15059662  10.6240263 138.7742462
-9.152397156 -138.6653595 -92.619133  9.152397156 138.6653595
-8.717467308 -138.7141876 -92.6269989  8.717467308 138.7141876
-8.650123596 -138.7250671 -92.63024902  8.650123596 138.7250671
-4.796483517 -138.8591461 -93.1774826  4.796483517 138.8591461
-3.266681194 -138.7128296 -93.24973297  3.266681194 138.7128296
-3.264839172 -138.7125244 -93.24990845  3.264839172 138.7125244
-3.113179922 -138.6872101 -93.26464844  3.113179922 138.6872101
2.427467346 -138.5539703 -93.74272919  -2.427467346 138.5539703
4.297018528 -138.4990234 -93.96357727  -4.297018528 138.4990234
6.175318718 -138.3843384 -94.2552948  -6.175318718 138.3843384
6.819592953 -138.3075409 -94.32368469  -6.819592953 138.3075409
7.00084734 -138.297821 -94.35053253  -7.00084734 138.297821
8.346030235 -138.1289368 -94.50782776  -8.346030235 138.1289368
12.23399067 -137.9626465 -94.91841125  -12.23399067 137.9626465
13.28099728 -137.9392853 -95.16402435  -13.28099728 137.9392853
14.4425602 -137.9092255 -95.32411957  -14.4425602 137.9092255
16.16457939 -137.7866058 -95.41676331  -16.16457939 137.7866058
16.49663925 -137.7705383 -95.46815491  -16.49663925 137.7705383
16.5277462 -137.7657013 -95.47441101  -16.5277462 137.7657013
17.52976799 -137.7951965 -95.52597046  -17.52976799 137.7951965
17.52990723 -137.7952118 -95.52596283  -17.52990723 137.7952118
17.56463242 -137.7987518 -95.52313232  -17.56463242 137.7987518
20.48969269 -138.1962585 -95.02173615  -20.48969269 138.1962585
23.84575081 -138.2872772 -94.64205933  -23.84575081 138.2872772
26.03315926 -138.4307098 -94.23448944  -26.03315926 138.4307098
28.53732109 -138.7737579 -93.83966827  -28.53732109 138.7737579
30.07039452 -138.9412689 -93.49653625  -30.07039452 138.9412689
35.83984375 -139.811554 -92.41668701  -35.83984375 139.811554
36.67915726 -139.9492645 -92.33431244  -36.67915726 139.9492645
40.31093216 -140.5228577 -91.04407501  -40.31093216 140.5228577
42.16019821 -140.9145203 -90.2303009  -42.16019821 140.9145203
45.24567032 -141.713501 -88.98656464  -45.24567032 141.713501
45.36346436 -141.7408295 -88.93456268  -45.36346436 141.7408295
46.56708145 -142.2234497 -88.48854065  -46.56708145 142.2234497
49.61853409 -143.256958 -86.64189911  -49.61853409 143.256958
50.81819153 -143.69104 -86.05639648  -50.81819153 143.69104
54.37956619 -144.8916168 -83.84659576  -54.37956619 144.8916168
57.18983459 -145.8843536 -82.08006287  -57.18983459 145.8843536
58.10711288 -146.1239624 -81.58556366  -58.10711288 146.1239624
59.52397156 -146.596817 -80.62332153  -59.52397156 146.596817
59.80263519 -146.6772919 -80.44145966  -59.80263519 146.6772919
59.90617371 -146.7028656 -80.35444641  -59.90617371 146.7028656
61.78257751 -147.1736603 -78.92243958  -61.78257751 147.1736603
63.73136139 -147.8973541 -77.40128326  -63.73136139 147.8973541
65.18251038 -148.4599304 -76.16923523  -65.18251038 148.4599304
67.25045776 -149.4997101 -74.63475037  -67.25045776 149.4997101
67.31163025 -149.5409546 -74.58052826  -67.31163025 149.5409546
69.18245697 -150.8411865 -72.40791321  -69.18245697 150.8411865
70.15416718 -151.4841919 -71.39741516  -70.15416718 151.4841919
72.77762604 -152.9353943 -69.18736267  -72.77762604 152.9353943
75.67320251 -154.5866547 -65.94025421  -75.67320251 154.5866547
76.89274597 -155.5690613 -64.64833069  -76.89274597 155.5690613
77.59941101 -156.1575012 -63.89503098  -77.59941101 156.1575012
78.54503632 -157.1477509 -62.51364517  -78.54503632 157.1477509
79.81360626 -158.6630402 -60.69605637  -79.81360626 158.6630402
79.94426727 -158.7821655 -60.52931976  -79.94426727 158.7821655
80.2115097 -159.0162811 -60.25428391  -80.2115097 159.0162811
80.25996399 -159.0603333 -60.19781876  -80.25996399 159.0603333
80.27909851 -159.0797272 -60.17408371  -80.27909851 159.0797272
80.454216 -159.2604218 -59.94098282  -80.454216 159.2604218
81.80744934 -160.5981598 -57.84059525  -81.80744934 160.5981598
84.2950058 -162.2561951 -53.34305573  -84.2950058 162.2561951
85.98700714 -163.2236938 -51.16535568  -85.98700714 163.2236938
87.82514954 -165.1792603 -47.45399857  -87.82514954 165.1792603
88.31491852 -165.6737061 -46.7586937  -88.31491852 165.6737061
89.26824951 -167.0604095 -44.69007492  -89.26824951 167.0604095
90.94533539 -168.5246887 -41.98278046  -90.94533539 168.5246887
93.56791687 -169.410965 -37.32841873  -93.56791687 169.410965
95.67313385 -170.0247345 -33.60739517  -95.67313385 170.0247345
97.75814819 -170.7770844 -30.20391464  -97.75814819 170.7770844
98.04940033 -170.8165741 -29.93945694  -98.04940033 170.8165741
98.5076828 -170.9053802 -29.30192566  -98.5076828 170.9053802
98.61777496 -170.9172974 -29.12580109  -98.61777496 170.9172974
100.1739197 -171.2130737 -26.55809402  -100.1739197 171.2130737
100.5658493 -171.183136 -26.04540443  -100.5658493 171.183136
102.5772018 -170.9671021 -23.95185661  -102.5772018 170.9671021
102.9280548 -170.8980408 -23.50363922  -102.9280548 170.8980408
103.3508911 -170.8747711 -22.92581367  -103.3508911 170.8747711
104.5528412 -170.5933228 -21.31739044  -104.5528412 170.5933228
105.0890808 -170.0813751 -20.59521675  -105.0890808 170.0813751
